4;Taller 1 Sectores Agricultura, ganadería y seguridad alimentaria - Agricultura (adaptación - mitigación);25;17;8;;;;;;;;
5;Taller 1 Sectores REA-UTCUTS (adaptación - mitigación);16;6;10;;;;;;;;
6;Reunión con MEM para revisar avances en metas del sector Energía;5;3;2;;;;;;;;
7;Taller 1 Sector Zonas marino-costeras (adaptación);32;15;17;;;;;;;;
5;Taller 1 Sector Gestión integrada de los recursos hídricos (adaptación);25;13;12;;;;;;;;
6;Reunión con el MARN para revisión de resultados de la primera ronda de Talleres;10;3;7;;;;;;;;
7;Reunión bilateral con AGREQUIMA, sobre la meta RES-2;3;1;2;;;;;;;;
8;Reunión de seguimiento con MARN ;3;1;2;;;;;;;;
9;Reunión con Asesor de viceministra de recursos naturales y cambio climático;3;1;2;;;;;;;;
10;Reunión de seguimiento con MARN ;5;1;4;;;;;;;;
11;Reunión de seguimiento con AGREQUIMA, sobre meta RES-2;2;1;1;;;;;;;;
12;Reunión para elaboración de solicitud de apoyo para meta REA 1;8;2;6;;;;;;;;
13;Taller 1 sobre implementación de la NDC, Sector Energía;28;18;10;;;;;;;;
14;Taller 2 Sector Gestión integrada de los recursos hídricos (adaptación);25;11;14;;;;;;;;
15;Reunión con oficinas de género y pueblos indígenas de instituciones rectoras sectoriales ;0;0;0;;;;;;;;
16;Taller 2 Sectores Agricultura, ganadería y seguridad alimentaria - Agricultura (adaptación - mitigación);18;11;7;;;;;;;;
17;Taller 2 Sector Zonas marino-costeras (adaptación);18;5;13;;;;;;;;
18;Taller 2 Sectores REA-UTCUTS (adaptación - mitigación);16;6;10;;;;;;;;
19;Sesión 1 capacitación sobre cambio climático y NDC;17;6;11;;;;;;;;
20;Sesión 2 capacitación sobre cambio climático y NDC;17;6;11;;;;;;;;
21;Reunión bilateral de seguimiento con Cuencas MARN;4;2;2;;;;;;;;
22;Reunión bilateral de seguimiento con INAB;5;2;3;;;;;;;;
23;Reunión bilateral de seguimiento con CONAP;4;1;3;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
DIRECCIÓN DE CAMBIO CLIMÁTICO;;;;;;;;;;;;
DEPARTAMENTO DE PREVENCIÓN  DEL RIESGO ANTE LOS EFECTOS DEL CAMBIO CLMIÁTICO;;;;;;;;;;;;
;;;;;;;;;;;;
Capacitaciones;Departamento;No. de asistentes;Informes;Trifoliares;Infografias;Socializacion ;Taller;;;;;
 Incendios forestales;Peten,  OCTUBRE;31.26666667;13 sobre Monitoreo fenomeno El Niño;5 sobre temas vnculados al cambio climatico;9 sobre temas de riesgos por efecto del cambio climatico;Estrategia  Nacinal para la Gestion del Fuego para Guatemala en los departamentos fr Guatemala, El Peten,Quetzaltenango, Zacapa, Huehuetenango 150 asistentes en total. SEPTIEMBRE;Mecanismo de Coordinacion vinculado a Incendios Forestales, 35 personas. MARZO;;;;;
Cambio climatico; Chiquimula,  AGOSTO;29.38787879;;;;;;;;;;
;Quetzaltenango, FEBRERO;27.50909091;;;;;;;;;;
;San Marcos ABRIL;25.63030303;;;;;;;;;;
;El Quiche, AGOSTO;23.75151515;;;;;;;;;;
;Quetzaltenango, NOVIEMBRE ;21.87272727;;;;;;;;;;
;Alta Verapaz, AGOSTO;19.99393939;;;;;;;;;;
Deslizamientos;Zacapa, JUNIO;18.11515152;;;;;;;;;;
Gestion del Fuego;Guatemala, JULIO;16.23636364;;;;;;;;;;
MRV;Guatemala, JULIO;14.35757576;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Nombre de Proyecto;Ubicación del proyecto (departamentos y municipios );;Beneficiarios (Si el proyecto es regional, hacer un estimado para Guatemala);;;;No. de comunidades ;No. de talleres/capacitaciones impartidas ;No. de personas que asistieron a estas capacitaciones o talleres ;No. de hectáreas con medidas de adaptación al Cambio Climático;Actores involucrados ;
;Departamentos;Municipios;Hombres ;Mujeres;Niños ;Total (Si no se tiene dividido todavía);;;;;Fondos e Implementadores;Sector público 
Uso de soluciones basada en la naturaleza para aumentar la resiliencia ante eventos climáticos extremos en la región atlántica de Centroamérica - REFORES -;6.142857143;25.28571429;33,470;26,198;0;-2,967;2.857142857;29.71428571;1023.857143;4,362;1.714285714;2
Incrementando la resiliencia a través de Soluciones basadas en la Naturaleza en ciudades latinoamericanas - Nature4Cities -;6.821428571;27.64285714;37594.96429;29490;0;-6533.6;2.321428571;33.60714286;1154.678571;4923.010357;1.392857143;2.071428571
Escalado medidas de Adaptación basada en Ecosistemas (AbE) en áreas rurales de América Latina: Ecuador, Costa Rica y Guatemala - EbA LAC - ;7.5;30;41,720;32,782;0;-10,100;1.785714286;37.5;1285.5;5,483.63;1.071428571;2.142857143
Acción y apoyo para prevenir, minimizar y abordar el desplazamiento relacionado con los efectos adversos del cambio climático en Guatemala - PAMAD -;8.178571429;32.35714286;45845.46429;36074.85714;0;-13666.8;1.25;41.39285714;1416.321429;6044.2425;0.75;2.214285714
RELIVE/RESICLIMA ;8.857142857;34.71428571;49,971;39,367;0;89,338;0.714285714;45.28571429;1547.142857;6,605;0.428571429;2.285714286
"Promoviendo Territorios Sostenibles y Resilientes en Paisajes 
de la Cadena Volcánica Central de Guatemala";9.535714286;37.07142857;54095.96429;42659.71429;0;-54146;0.178571429;49.17857143;1,677.96;7,165.47;0.107142857;2.357142857
Construyendo Resiliencia Climática en las cadenas de suministro para la movilización de fondos para la adaptación;10.21428571;39.42857143;58221.21429;45952.14286;0;-113517;-0.357142857;53.07142857;1,808.79;7,726.09;-0.214285714;2.428571429
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fortalecimiento de Capacidades en temas de Degradación de Tierras, desertificación y Sequía;;;;;;;;;;;;
Departamento de Lucha contra la Degración de Tierras, la Desertificación y Sequía;;;;;;;;;;;;
CAPACITACIONES;DEPARTAMENTO;MES;PERSONAS CAPACITADAS;;;;;;;;;
Taller Herramientas SIG para el análisis geoespacial del Riesgo y Prevención de la Degradación de  Tierras, Desertificación y Sequía: Experiencias en Guatemala y México En conmemoración al día Mundial de la Tierra;San Marcos ;Abril;17.9;;;;;;;;;
"Taller en Conmemoración del Día Mundial de Lucha contra la Desertificación y la Sequía ""Unidos por la tierra: Nuestro legado. Nuestro futuro""";Zacapa ;Junio;7.8;;;;;;;;;
Taller de capacitación de tecnologías geoespaciales para el monitoreo de la degradación de tierras, la desertificación y la sequía con adaptación al cambio climático.;Alta Verapaz;Agosto;-2.3;;;;;;;;;
Taller Primera reunión ordinaria Con el Grupo Técnico Interinstitucional Para el Manejo Sostenible de la Tierra -GTI-   ;Guatemala;Octubre;-12.4;;;;;;;;;
Taller capacitación de Tecnologías Geoespaciales para Monitoreo de la Degradación de Tierras, la Desertificación y la Sequía, con Adaptación al Cambio Climático.;Quetzaltenango ;Noviembre ;-22.5;;;;;;;;;
;;Total;-11.5;;;;;;;;;
;;;;;;;;;;;;
Talleres realizados en 2024 para la Actualización de la NDC e insumos para el BTR;;;;;;;;;;;;
No.;Reunión/Taller;Total de participantes;Hombres;Mujeres;;;;;;;;
22.96615385;Reunión de inicio con instituciones rectoras sectoriales;9.409230769;3.695384615;5.713846154;;;;;;;;
23.82974359;Sinergias NDC y CBIT (coordinación);9.168888889;3.553162393;5.615726496;;;;;;;;
24.69333333;Información sobre avances sector Salud (GIZ-MARN);8.928547009;3.410940171;5.517606838;;;;;;;;
25.55692308;Taller 1 Sectores Agricultura, ganadería y seguridad alimentaria - Agricultura (adaptación - mitigación);8.688205128;3.268717949;5.419487179;;;;;;;;
26.42051282;Taller 1 Sectores REA-UTCUTS (adaptación - mitigación);8.447863248;3.126495726;5.321367521;;;;;;;;
27.28410256;Reunión con MEM para revisar avances en metas del sector Energía;8.207521368;2.984273504;5.223247863;;;;;;;;
28.14769231;Taller 1 Sector Zonas marino-costeras (adaptación);7.967179487;2.842051282;5.125128205;;;;;;;;
29.01128205;Taller 1 Sector Gestión integrada de los recursos hídricos (adaptación);7.726837607;2.69982906;5.027008547;;;;;;;;
29.87487179;Reunión con el MARN para revisión de resultados de la primera ronda de Talleres;7.486495726;2.557606838;4.928888889;;;;;;;;
30.73846154;Reunión bilateral con AGREQUIMA, sobre la meta RES-3;7.246153846;2.415384615;4.830769231;;;;;;;;
31.60205128;Reunión de seguimiento con MARN ;7.005811966;2.273162393;4.732649573;;;;;;;;
32.46564103;Reunión con Asesor de viceministra de recursos naturales y cambio climático;6.765470085;2.130940171;4.634529915;;;;;;;;
33.32923077;Reunión de seguimiento con MARN ;6.525128205;1.988717949;4.536410256;;;;;;;;
34.19282051;Reunión de seguimiento con AGREQUIMA, sobre meta RES-3;6.284786325;1.846495726;4.438290598;;;;;;;;
35.05641026;Reunión para elaboración de solicitud de apoyo para meta REA 2;6.044444444;1.704273504;4.34017094;;;;;;;;
35.92;Taller 1 sobre implementación de la NDC, Sector Energía;5.804102564;1.562051282;4.242051282;;;;;;;;
36.78358974;Taller 2 Sector Gestión integrada de los recursos hídricos (adaptación);5.563760684;1.41982906;4.143931624;;;;;;;;
37.64717949;Reunión con oficinas de género y pueblos indígenas de instituciones rectoras sectoriales ;5.323418803;1.277606838;4.045811966;;;;;;;;
38.51076923;Taller 2 Sectores Agricultura, ganadería y seguridad alimentaria - Agricultura (adaptación - mitigación);5.083076923;1.135384615;3.947692308;;;;;;;;
39.37435897;Taller 2 Sector Zonas marino-costeras (adaptación);4.842735043;0.993162393;3.84957265;;;;;;;;
40.23794872;Taller 2 Sectores REA-UTCUTS (adaptación - mitigación);4.602393162;0.850940171;3.751452991;;;;;;;;
41.10153846;Sesión 1 capacitación sobre cambio climático y NDC;4.362051282;0.708717949;3.653333333;;;;;;;;
41.96512821;Sesión 2 capacitación sobre cambio climático y NDC;4.121709402;0.566495726;3.555213675;;;;;;;;
42.82871795;Reunión bilateral de seguimiento con Cuencas MARN;3.881367521;0.424273504;3.457094017;;;;;;;;
43.69230769;Reunión bilateral de seguimiento con INAB;3.641025641;0.282051282;3.358974359;;;;;;;;
44.55589744;Reunión bilateral de seguimiento con CONAP;3.400683761;0.13982906;3.260854701;;;;;;;;
